№,Вид транспортного средства,Тип объекта,Наименование остановки,Официальное наименование,Расположение,Маршруты,Координаты
6033,Автобус,Остановка,"БОГАТЫРСКИЙ ПР., УГОЛ ШУВАЛОВСКОГО ПР","БОГАТЫРСКИЙ ПР., УГОЛ ШУВАЛОВСКОГО ПР",Богатырский пр,"134, 294","60.0079541268802,30.2042179"
6034,Автобус,Остановка,УЛ. МАРШАЛА ГОВОРОВА,УЛ. МАРШАЛА ГОВОРОВА,"ул. Маршала Говорова, ул. Васи Алексеева","111, 244, 72","59.878402585179259,30.2666683"
6035,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., УГОЛ УЛ. ДОБЛЕСТИ","ЛЕНИНСКИЙ ПР., УГОЛ УЛ. ДОБЛЕСТИ","Ленинский пр., ул. Доблести","2, 226, 239, 2А","59.861033621286538,30.1804199"
6036,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., УГОЛ УЛ. ДОБЛЕСТИ","ЛЕНИНСКИЙ ПР., УГОЛ УЛ. ДОБЛЕСТИ","ул. Доблести, Ленинский пр","226, 239, 2А, 300","59.861791517024166,30.1785698"
6037,Автобус,Остановка,"ЛЕНИНСКИЙ ПР., 55","ЛЕНИНСКИЙ ПР., 55",,"226, 239, 2А, 300","59.86294375981339,30.1730824"
6038,Автобус,Остановка,"ПР. ГЕРОЕВ, УГОЛ ЛЕНИНСКОГО ПР","ПР. ГЕРОЕВ, УГОЛ ЛЕНИНСКОГО ПР","проспект Героев, Ленинский проспект","226, 239, 243, 2А, 300","59.86427084713727,30.1642532"
6039,Автобус,Остановка,"ПР. ГЕРОЕВ, 26","ПР. ГЕРОЕВ, 26","проспект Героев, улица Маршала Захарова","226, 239, 243, 2А, 300","59.860786701298871,30.1596699"
6040,Автобус,Остановка,"ПР. ГЕРОЕВ, УГОЛ УЛ. МАРШАЛА ЗАХАРОВА","ПР. ГЕРОЕВ, УГОЛ УЛ. МАРШАЛА ЗАХАРОВА","улица Маршала Захарова, проспект Героев","243, 2А, 333","59.858921024375064,30.1583652"
6041,Автобус,Остановка,"УЛ. СПИРИНА, УГОЛ УЛ. ОСВОБОЖДЕНИЯ","УЛ. СПИРИНА, УГОЛ УЛ. ОСВОБОЖДЕНИЯ","ул. Освобождения, ул. Спирина","144, 145Б, 149, 301","59.742111868932497,30.0849686"
6042,Автобус,Остановка,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,ЖЕЛЕЗНОДОРОЖНЫЙ ПЕРЕЕЗД,Петергофское ш,68,"59.849004430508508,30.1250134"
6043,Автобус,Остановка,ЛЭМЗ,ЛЭМЗ (ВЫСАДКА),,68,"59.855714147692609,30.124279"
6044,Автобус,Остановка,ЛЭМЗ (ПОСАДКА),ЛЭМЗ,,68,"59.855528928260703,30.1209259"
6045,Автобус,Остановка,СЧАСТЛИВАЯ УЛ. (ВЫСАДКА),СЧАСТЛИВАЯ УЛ. (ВЫСАДКА),"ул. Счастливая, пр. Народного Ополчения","114, 142, 73, 81","59.843552646868147,30.2770004"
6046,Автобус,Остановка,СЧАСТЛИВАЯ УЛ. (ПОСАДКА),СЧАСТЛИВАЯ УЛ,"ул. Счастливая, пр. Народного Ополчения","114, 142, 160, 195, 81","59.842976194639228,30.2761803"
6047,Автобус,Остановка,ДОСААФ,ДОСААФ,"Краснофлотское шоссе, Пригородная улица","175, 1Л, 2Л","59.922473367532788,29.7252712"
6048,Автобус,Остановка,ВЛАДИМИРСКАЯ УЛ,ВЛАДИМИРСКАЯ УЛ,"Владимирская улица, Александровская улица","204Э, 343Э, 349, 3Л","59.91051434042587,29.7696285"
6049,Автобус,Остановка,ОРАНИЕНБАУМСКИЙ ПР,ОРАНИЕНБАУМСКИЙ ПР,"Ораниенбаумский проспект, Красноармейская улица","349, 3АЛ, 3Л","59.905634312790845,29.7833824"
6050,Автобус,Остановка,"УЛ. КРАСНОГО ТЕКСТИЛЬЩИКА, ЕДИНЫЙ ЦЕНТР ДОКУМЕНТОВ","УЛ. КРАСНОГО ТЕКСТИЛЬЩИКА, ЕДИНЫЙ ЦЕНТР ДОКУМЕНТОВ","ул. Красного Текстильщика, ул. Тульская",55,"59.94189374927948,30.3943481"
6051,Автобус,Остановка,МАЛАЯ ИЖОРА,МАЛАЯ ИЖОРА,Краснофлотское шоссе,1Л,"59.927395413838227,29.6576004"
6052,Автобус,ДС,"А.С. Г. ЛОМОНОСОВ, ВОКЗАЛ, ПОСАДКИ И ВЫСАДКИ НЕТ","А.С. Г. ЛОМОНОСОВ, ВОКЗАЛ, ПОСАДКИ И ВЫСАДКИ НЕТ","Привокзальная улица, Театральный мост","175, 1Л, 200, 204Э, 2Л, 343Э, 347, 348, 349, 359, 3АЛ, 3Л, 4Л, 682, 683, 683А, 684, 685А, 686, 7Л","59.918173680995316,29.7675228"
6053,Автобус,Остановка,КРОПОТКИНСКАЯ УЛ,КРОПОТКИНСКАЯ УЛ,"Санкт-Петербургское ш., ул. Кропоткинская","103, 200, 201, 204Э, 210, 329, 343Э, 359","59.854729728889332,30.0211239"
6054,Автобус,Остановка,УЛ. АННЫ ПАВЛОВОЙ,УЛ. АННЫ ПАВЛОВОЙ,"Морская улица, улица Жоры Антоненко","200, 348, 349","59.901352996229328,29.82061"
6055,Автобус,Остановка,УЛ. АННЫ ПАВЛОВОЙ,УЛ. АННЫ ПАВЛОВОЙ,"Морская улица, улица Анны Павловой","200, 348, 349","59.900952236749291,29.8208218"
6056,Автобус,Остановка,КРОПОТКИНСКАЯ УЛ,КРОПОТКИНСКАЯ УЛ,"Санкт-Петербургское ш., ул. Кропоткинская","103, 200, 201, 204Э, 210, 329, 343Э, 359","59.854565084574105,30.0214825"
6057,Автобус,Остановка,"СТ. МЕТРО ""НАРВСКАЯ""","СТ. МЕТРО ""НАРВСКАЯ""","площадь Стачек, Старо-Петергофский проспект","2, 269, 35, 6, 66, 73","59.901031018909293,30.274332"
6058,Автобус,Остановка,УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,УЛ. ПОГРАНИЧНИКА ГАРЬКАВОГО,"улица Пограничника Гарькавого, Петергофское шоссе","203, 226, 229, 300, 333","59.846764126555826,30.1469688"
6059,Автобус,Остановка,"ПР. МАРШАЛА БЛЮХЕРА, Д. 12","ПР. МАРШАЛА БЛЮХЕРА, Д. 12",проспект Маршала Блюхера,"137, 185, 222, 237, 249, 271","59.981575176086139,30.3763542"
6060,Автобус,Остановка,СОБСТВЕННЫЙ ПР,СОБСТВЕННЫЙ ПР,"Санкт-Петербургский пр., ул. Знаменская","103, 200, 348, 351А, 351Б, 353, 357","59.888886084781959,29.8775368"
6061,Автобус,Остановка,Ж.-Д. СТ. НОВЫЙ ПЕТЕРГОФ,Ж.-Д. СТ. НОВЫЙ ПЕТЕРГОФ,"Привокзальная пл., ул. Демьяна Бедного","162, 201, 278, 350, 351А, 351Б, 352, 353, 354, 355, 356, 360","59.86469605254694,29.9255314"
6062,Автобус,Остановка,РЮХИНА УЛ,РЮХИНА УЛ,"Рюхина улица, Крестовский проспект","10, 14, 220, 227, 25, 29","59.969446032620063,30.259203"
6063,Автобус,Остановка,"БУГРЫ, ГАРАЖНЫЙ ПРОЕЗД","БУГРЫ, ГАРАЖНЫЙ ПРОЕЗД (ВЫСАДКА)",ул. Шоссейная,"247, 399, 99","60.070907951693464,30.3945293"
6064,Автобус,Остановка,БАРОЧНАЯ УЛ,БАРОЧНАЯ УЛ,"Левашовский пр., ул. Барочная",10,"59.966472022642179,30.2877102"
6065,Автобус,Остановка,РИЖСКИЙ ПР,РИЖСКИЙ ПР,"Старо-Петергофский пр., Рижский пр","2, 49, 6, 66","59.91282225803598,30.2771912"
6066,Автобус,Остановка,"СТ. МЕТРО ""КРЕСТОВСКИЙ ОСТРОВ""","СТ. МЕТРО ""КРЕСТОВСКИЙ ОСТРОВ""","Рюхина улица, Морской проспект",29,"59.970813303920991,30.2587051"
6067,Автобус,Остановка,СЧАСТЛИВАЯ УЛ,СЧАСТЛИВАЯ УЛ. (ПОСАДКА),"пр. Народного Ополчения, ул. Счастливая",73,"59.843676171047086,30.277607"
6068,Автобус,Остановка,ОРДИНАРНАЯ УЛ,ОРДИНАРНАЯ УЛ,"ул. Ординарная, ул. Большая Пушкарская","10, 230, 25","59.964150741963522,30.3111439"
6069,Автобус,Остановка,ПЛ. ШЕВЧЕНКО,ПЛ. ШЕВЧЕНКО,"ул. Ординарная, Левашовский пр","10, 25","59.966971128020191,30.3056183"
6070,Автобус,Остановка,"СТ. МЕТРО ""КРЕСТОВСКИЙ ОСТРОВ""","СТ. МЕТРО ""КРЕСТОВСКИЙ ОСТРОВ""","Морской проспект, Динамовская улица","10, 14, 220, 227, 25","59.971326016106744,30.2600098"
6071,Автобус,Остановка,АФОНСКАЯ УЛ,АФОНСКАЯ УЛ,"Афонская улица, Первомайский проспект",182,"60.03180787809687,30.3013859"
6072,Автобус,Остановка,"КРАСНОСЕЛЬСКОЕ ШОССЕ, 54, ПО ТРЕБОВАНИЮ","КРАСНОСЕЛЬСКОЕ ШОССЕ, 54, ПО ТРЕБОВАНИЮ","Красносельское шоссе, улица Лассаля","129, 461, 462","59.819281551250214,30.0740509"
6073,Автобус,Остановка,КОМЕНДАНТСКИЙ ПР,КОМЕНДАНТСКИЙ ПР,"ул. Шаврова, Комендантский пр","182, 184, 76","60.025082514898877,30.2380905"
6074,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ,ПР. АВИАКОНСТРУКТОРОВ,"ул. Шаврова, пр. Авиаконструкторов",85,"60.022973519420169,30.2308884"
6075,Автобус,Остановка,"ПР. АВИАКОНСТРУКТОРОВ, ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ","ПР. АВИАКОНСТРУКТОРОВ, ПОЛИТЕХНИЧЕСКИЙ КОЛЛЕДЖ","пр. Авиаконструкторов, Шуваловский пр","171, 182, 258","60.024782213080947,30.2287407"
6076,Автобус,Остановка,ПР. АВИАКОНСТРУКТОРОВ,ПР. АВИАКОНСТРУКТОРОВ,"ул. Шаврова, пр. Авиаконструкторов","171, 182, 85","60.023154393240759,30.2321491"
6077,Автобус,Остановка,"УЛ. СПИРИНА, 2","УЛ. СПИРИНА, 2","ул. Геологическая, ул. Спирина",149А,"59.747473582814258,30.084095"
6078,Автобус,Остановка,БРОНЕТАНКОВАЯ УЛ,БРОНЕТАНКОВАЯ УЛ,"Стрельнинское ш., пр. Ленина",149А,"59.74159561231604,30.0927067"
6079,Автобус,Остановка,Ж.-Д. СТ. СТРЕЛЬНА,Ж.-Д. СТ. СТРЕЛЬНА,"ул. Фронтовая, Владимирский пер","162, 163","59.847542932318419,30.0347538"
6080,Автобус,ДС,"Г. КОЛПИНО, ВОКЗАЛ, ПОСАДКИ И ВЫСАДКИ НЕТ","Г. КОЛПИНО, ВОКЗАЛ, ПОСАДКИ И ВЫСАДКИ НЕТ","ул. Правды, ул. Вокзальная","192, 330, 366, 369, 386, 390, 544","59.750542931671852,30.6107197"
6081,Автобус,Остановка,СТУДЕНЧЕСКАЯ УЛ,СТУДЕНЧЕСКАЯ УЛ,"ул. Белоостровская, пл. Академика Климова","137, 237, 267, 33","59.984568330069578,30.3322697"
6082,Автобус,Остановка,ПОЛЮСТРОВСКИЙ ПР,ПОЛЮСТРОВСКИЙ ПР,"ул. Кантемировская, Полюстровский пр","137, 185, 237, 249, 275, 60, 60","59.986167301417822,30.3553524"
6083,Автобус,Остановка,КЛОЧКОВ ПЕР,КЛОЧКОВ ПЕР,"Клочков переулок, ул. Коллонтай",102,"59.919012437470577,30.4625492"
6084,Автобус,Остановка,ЕЛЕЦКАЯ УЛ,ЕЛЕЦКАЯ УЛ,"пр. Энгельса, ул. Елецкая","222, 40, 86","60.017860865050842,30.3219872"
6085,Автобус,Остановка,"ПР. ХУДОЖНИКОВ, УГ. СИРЕНЕВОГО БУЛЬВАРА","ПР. ХУДОЖНИКОВ, УГ. СИРЕНЕВОГО БУЛЬВАРА","пр. Художников, Сиреневый бульвар",208,"60.053104356236133,30.3580399"
6086,Автобус,Остановка,ПРИДОРОЖНАЯ АЛЛЕЯ УГ. ПР. ХУДОЖНИКОВ,ПРИДОРОЖНАЯ АЛЛЕЯ УГ. ПР. ХУДОЖНИКОВ,"пр. Художников, Придорожная аллея",208,"60.055368260359927,30.3590546"
6087,Автобус,Остановка,ЕНОТАЕВСКАЯ УЛ,ЕНОТАЕВСКАЯ УЛ,"пр. Энгельса, ул. Енотаевская","40, 86","60.016816393785426,30.3221512"
6088,Автобус,Остановка,УЛ. ДЕМЬЯНА БЕДНОГО УГ. ТИМУРОВСКОЙ УЛ,УЛ. ДЕМЬЯНА БЕДНОГО УГ. ТИМУРОВСКОЙ УЛ,"ул. Демьяна Бедного, ул. Тимуровская","193, 208, 240, 69, 93","60.047235893967155,30.390667"
6089,Автобус,Остановка,Ж.-Д. СТ. ГОРЕЛОВО,Ж.-Д. СТ. ГОРЕЛОВО,"Аннинское шоссе, улица Генерала Лагуткина","458, 458А, 458Б, 81","59.781599057212979,30.1262398"
6090,Автобус,Остановка,Ж.-Д. СТАНЦИЯ УДЕЛЬНАЯ,Ж.-Д. СТАНЦИЯ УДЕЛЬНАЯ,"улица Аккуратова, Фермское шоссе","112, 208, 219, 279, 38, 40, 45, 85","60.016393134595333,30.3102627"
6091,Автобус,Остановка,"УЛ. АККУРАТОВА УГ. АФОНСКОЙ УЛ., ПО ТРЕБОВАНИЮ","УЛ. АККУРАТОВА УГ. АФОНСКОЙ УЛ., ПО ТРЕБОВАНИЮ","улица Аккуратова, Афонская улица","112, 208, 219, 279, 38, 40, 45, 85","60.016075686646374,30.3080368"
6092,Автобус,Остановка,ДЕР. ВИЛЛОЗИ,ДЕР. ВИЛЛОЗИ,Гатчинское шоссе,477,"59.697405499398755,30.1035614"
6093,Автобус,Остановка,"СТ. МЕТРО ""ЗВЕЗДНАЯ""","СТ. МЕТРО ""ЗВЕЗДНАЯ""","ул. Ленсовета, ул. Звёздная","231, 281, 34, 50, 59","59.833923213060046,30.347456"
6094,Автобус,Остановка,"ПОС. РОПША, 30","ПОС. РОПША, 30","Стрельнинское шоссе, Школьная улица","443, 481","59.73203654111348,29.8679161"
6095,Автобус,Остановка,ДЕР. ДЯТЛИЦЫ,ДЕР. ДЯТЛИЦЫ,,454,"59.696543916685187,29.6441727"
6096,Автобус,Остановка,"А.С. ""ПИСКАРЁВКА""","А.С. ""ПИСКАРЁВКА""","Репнинская улица, Брюсовская улица","178, 80","59.986635361748284,30.4255428"
6097,Автобус,Остановка,ТЕРВОЛОВО,ТЕРВОЛОВО,"Ленинградская улица, Спортивная улица",547,"59.667685329216631,29.898016"
6098,Автобус,Остановка,Ж.-Д. СТ. НОВЫЙ ПЕТЕРГОФ,Ж.-Д. СТ. НОВЫЙ ПЕТЕРГОФ,"Привокзальная пл., ул. Демьяна Бедного","463, 463А, 489","59.865052672247522,29.9248905"
6099,Автобус,Остановка,"ВОЛКОВСКИЙ ПР., УГ. УЛ. САЛОВА","ВОЛКОВСКИЙ ПР.,УГ. УЛ. САЛОВА","ул. Салова, Волковский пр",36,"59.879756475708653,30.3561211"
6100,Автобус,Остановка,ПЕТРОВСКИЙ ПАРК,ПЕТРОВСКИЙ ПАРК,"Макаровская улица, Арсенальный переулок","1КР, 3КР","59.98745188910668,29.7713852"
